0,4995
1,157074
2,234204
3,212991
4,189684
5,148283
6,119505
7,110134
8,105607
9,91475
10,79469
11,79553
12,79259
13,68112
14,59782
15,59381
16,59847
17,55185
18,53240
19,55326
20,58544
21,57119
22,58251
23,65866
24,74372
25,73264
26,75693
27,87167
28,97242
29,101297
30,109870
31,130106
32,150441
33,157548
34,164149
35,176728
36,176080
37,143579
38,118574
39,111132
40,108371
41,102172
42,98273
43,96758
44,87916
45,71996
46,59837
47,53233
48,48036
49,40134
50,34731
51,33414
52,32509
53,30055
54,28202
55,29272
56,29906
57,28120
58,28155
59,31308
60,34810
61,34262
62,34627
63,39387
64,43728
65,44125
66,43705
67,46176
68,46003
69,40958
70,36458
71,35543
72,34441
73,28514
74,25017
75,23687
76,22690
77,20829
78,19661
79,20312
80,21285
81,21231
82,20535
