0,447
1,94385
2,183375
3,119953
4,80299
5,53668
6,38828
7,31349
8,25907
9,20344
10,16851
11,14801
12,13470
13,11043
14,9901
15,9969
16,10120
17,9529
18,9801
19,10229
20,11168
21,11539
22,12455
23,14521
24,17170
25,18686
26,21630
27,26180
28,32755
29,38193
30,44637
31,52309
32,60472
33,66298
34,77981
35,95108
36,113768
37,110128
38,104132
39,93879
40,81431
41,64885
42,52758
43,44538
44,39113
45,32930
46,29346
47,27377
48,26748
49,24152
50,23117
51,23303
52,25235
53,26507
54,28340
55,31956
56,35745
57,37663
58,40431
59,44771
60,50082
61,48829
62,48382
63,50889
64,53664
65,53576
66,56741
67,63635
68,73476
69,80556
70,88287
71,97292
72,103275
73,94760
74,88051
75,81502
76,73863
77,62507
78,53701
79,46459
80,41470
81,34957
82,31601
83,28533
84,26383
85,22351
86,20489
87,18903
88,17701
89,10939
