1,5
2,28
3,58
4,91
5,104
6,150
7,180
8,202
9,203
10,218
11,229
12,241
13,200
14,237
15,204
16,243
17,246
18,239
19,252
20,263
21,249
22,254
23,265
24,295
25,331
26,345
27,420
28,462
29,547
30,555
31,678
32,860
33,1113
34,1343
35,1612
36,1992
37,2297
38,3018
39,3952
40,4460
41,5781
42,7118
43,8233
44,10174
45,12289
46,14315
47,17306
48,20518
49,21517
50,24345
51,26250
52,26853
53,27830
54,28837
55,29028
56,29219
57,30213
58,29358
59,28827
60,28331
61,24656
62,22611
63,20526
64,17669
65,16637
66,14882
67,13573
68,11838
69,11253
70,10260
71,9354
72,9329
73,8025
74,7587
75,7739
76,7306
77,7681
78,7966
79,8072
80,8497
81,9561
82,9593
83,10381
84,12001
85,11605
86,12685
87,13729
88,13711
89,14866
90,15509
91,15606
92,16087
93,17066
94,16681
95,17425
96,18634
97,16876
98,16946
99,16694
100,16015
101,15703
102,15453
103,14769
104,13894
105,13915
106,13176
107,12617
108,12756
109,11425
110,11027
111,10742
112,10118
113,10216
114,10206
115,9898
116,9775
117,10145
118,9988
119,10316
120,11431
121,10489
122,11037
123,11635
124,11505
125,12130
126,12375
127,12465
128,12788
129,13665
130,13618
131,13791
132,14841
133,13956
134,14363
135,14288
136,14291
137,14230
138,14156
139,13832
140,13515
141,13819
142,13213
143,12948
144,13842
145,12218
146,11701
147,11542
148,10886
149,10704
150,10251
151,9628
152,9391
153,9438
154,8843
155,8482
156,8915
157,7797
158,7603
159,7360
160,7031
161,6968
162,6804
163,6503
164,6292
165,6298
166,6096
167,5920
168,6233
169,5652
170,5587
171,5574
172,5293
173,5328
174,5242
175,5029
176,4869
177,4924
178,4666
179,4666
180,4790
181,4173
182,4249
183,4065
184,3751
185,3876
186,3730
187,3444
188,3357
189,3364
190,3059
191,3004
192,3077
193,2645
194,2636
195,2556
196,2428
197,2346
198,1373
