1,7109
2,41951
3,53280
4,43088
5,32142
6,25169
7,22140
8,19508
9,16640
10,14764
11,13555
12,11936
13,9138
14,6828
15,5738
16,5085
17,4485
18,4329
19,4518
20,5363
21,5937
22,6986
23,9396
24,12620
25,14197
26,15289
27,17612
28,20239
29,21021
30,22356
31,24985
32,29269
33,31996
34,34667
35,41189
36,48257
37,46817
38,45693
39,46788
40,48981
41,46592
42,46299
43,48236
44,51077
45,49878
46,49298
47,52058
48,54485
49,47708
50,42774
51,40373
52,38903
53,35023
54,33234
55,32930
56,32818
57,31413
58,30059
59,30478
60,30047
61,25764
62,22241
63,21032
64,19493
65,17677
66,16702
67,16275
68,16205
69,14593
70,14233
71,14194
72,13248
73,11146
74,9574
75,8501
76,7949
77,3797
