0,4
1,31990
2,130816
3,161168
4,168221
5,125574
6,95847
7,90122
8,83524
9,66938
10,59758
11,68679
12,75218
13,61881
14,53282
15,57649
16,63787
17,56673
18,52919
19,57457
20,61441
21,53841
22,49983
23,57755
24,64605
25,53574
26,45446
27,47972
28,52169
29,45896
30,42049
31,45864
32,48513
33,42169
34,39615
35,46321
36,51562
37,43614
38,38286
39,41751
40,44628
41,39742
42,36443
43,39348
44,40035
45,34280
46,31612
47,35360
48,37162
49,29986
50,25457
51,26751
52,27898
53,23664
54,21125
55,22152
56,21997
57,18167
58,16545
59,18309
60,18521
61,14625
62,12591
63,12775
64,8730
