0,688,845
1,1701,1669
2,1520,1544
3,1843,2059
4,2112,1531
5,2055,1953
6,2067,1806
7,2109,1766
8,2187,2014
9,2126,2063
10,1975,1946
11,2063,2012
12,2102,1973
13,2215,1973
14,2100,2001
15,630,1934
16,73,2025
17,233,1969
18,386,1969
19,1831,2043
20,2118,2090
21,2090,1913
22,2208,2022
23,2027,1869
24,2057,1977
25,2101,1999
26,2021,1128
27,2150,333
28,2038,533
29,2081,52
30,2039,392
31,2003,201
32,2046,981
33,2128,1966
34,2017,1452
35,1899,1156
36,719,2030
37,544,2137
38,195,2018
39,247,2019
40,258,1838
41,492,1765
42,2013,1846
43,1945,1915
44,1904,2007
45,1989,2013
46,2159,1938
47,2112,1756
48,2032,2031
49,845,1941
50,467,1885
51,1460,2020
52,2237,1904
53,2237,2010
54,2215,1955
55,2084,1947
56,2219,2001
57,2133,2115
58,2061,1963
59,2158,1946
60,2075,1861
61,2057,1829
62,2015,1812
63,2065,1914
64,2173,1894
65,2047,1339
66,2009,160
67,2124,205
68,2035,253
70,2163,410
71,2153,110
72,2125,92
73,2177,905
74,2242,1807
75,2215,1880
76,1668,1852
77,2114,1836
78,2137,1845
79,2179,1803
80,2267,1933
81,1770,1782
82,147,1797
83,247,1804
84,81,1947
85,218,1892
86,221,1066
87,167,629
88,58,318
89,272,351
90,2038,1843
91,2077,1944
92,1905,1952
93,1898,1785
94,2017,1777
95,2094,1828
96,827,1769
97,524,1815
98,1325,1362
99,1997,1561
100,2148,1844
101,2012,1818
102,2064,1939
103,1964,1829
104,2079,610
105,2101,235
106,2046,116
107,2180,1394
108,2270,1961
109,2079,1983
110,1577,1872
111,2188,1837
112,2184,1994
113,2157,1939
114,2113,1899
115,1052,1948
116,1438,1852
117,1931,1825
118,2037,1662
119,2030,1871
120,2066,1878
121,965,1916
122,232,1884
123,203,1711
124,389,1864
125,95,1810
126,1552,1942
127,2160,1927
128,2147,1968
129,1858,1738
130,2005,1848
131,2157,1857
132,1993,897
133,1966,157
134,1940,1875
135,2025,1855
136,2057,1889
137,2073,1914
138,2037,1901
139,1789,416
140,2142,130
141,1473,302
142,2076,150
143,2049,191
144,1885,164
145,1947,716
146,1517,1447
147,368,1867
148,1841,1985
149,1902,1890
150,2005,1937
151,1963,2009
152,2018,1935
153,1702,1997
154,2015,1991
155,2067,1974
156,872,1993
157,304,1946
158,93,1955
159,47,1977
160,68,1971
161,211,1894
162,1677,2009
163,1954,2011
164,2045,1931
165,1089,1631
166,1951,803
167,2123,2009
168,2066,1880
169,2150,1980
170,2060,1772
171,2128,1449
172,2007,1705
173,2103,1825
174,1979,1851
175,1981,1817
176,2075,1946
177,1557,426
178,1987,135
179,1941,173
180,1947,151
181,1903,134
182,1092,586
183,926,1888
184,1881,1948
185,2004,1860
186,1891,1818
187,1965,1815
188,1903,1865
189,2001,1832
190,1949,1830
191,2000,1825
192,2022,1889
193,1488,1969
194,145,1851
195,241,1787
196,299,1879
197,197,1600
198,251,347
199,577,1694
200,2163,1937
201,2130,1941
202,2164,1878
203,1970,1885
204,1512,1159
205,1805,1860
206,2103,1302
207,2161,267
208,2110,140
209,2152,270
210,1743,207
211,2000,1323
212,2056,1872
213,2012,1955
214,2111,1669
215,978,910
216,286,2055
217,257,1991
218,209,2175
219,370,2120
220,1575,2006
221,2003,1944
222,2057,1915
223,2003,2082
224,2126,1936
225,1990,2075
226,1935,2099
227,2056,1979
228,2078,2077
229,2073,2023
230,2249,1714
231,1528,840
232,267,1998
233,247,2109
234,2131,2063
235,2191,2046
236,2092,1623
237,2040,1922
238,2077,1897
239,1844,1981
240,2067,2011
241,2214,2104
242,2055,1967
243,2079,2014
244,1879,1927
245,2170,1951
246,2040,2035
247,1920,543
248,2033,151
249,1007,174
250,415,124
251,2161,176
252,2086,231
253,2036,1338
254,2083,2058
255,2049,1923
256,2110,2160
257,1943,1964
258,2093,1947
259,2084,1913
260,1855,1910
261,2019,1927
262,1915,1968
263,2051,1003
264,2035,663
265,2083,1936
266,212,1147
267,261,475
268,218,381
269,169,815
270,167,1964
271,126,1953
272,260,2006
273,1769,1949
274,1970,1700
275,2048,1891
276,726,1855
277,734,1963
278,1395,1941
279,2043,1847
280,2110,1929
281,2042,1921
282,2159,1955
283,1658,1908
284,2063,1562
285,2028,309
286,2008,160
287,2136,573
288,2187,1881
289,2122,1750
290,1908,1653
291,2069,1732
292,1960,1627
293,1842,1781
294,2119,1738
295,1994,1775
296,2046,1744
297,2023,1542
298,1785,334
299,1981,1207
300,2086,1366
301,1999,1389
302,1833,1525
303,1358,1585
304,83,717
305,114,1769
306,348,1884
307,159,1757
308,200,1914
309,1227,1830
310,1876,1877
311,2078,1836
312,2027,1888
313,2003,1873
314,1093,2009
315,608,1882
316,1988,1744
317,1984,1990
318,2034,1793
319,2024,1793
320,1869,224
321,2098,216
322,1895,233
323,1942,221
324,2172,392
325,1962,1889
326,2139,1067
327,2070,828
328,2109,1484
329,2099,1865
330,2035,1750
331,1891,2140
332,2034,1862
333,1920,1956
334,2124,2087
335,1961,1788
336,545,1911
337,293,1929
338,270,1858
339,134,1997
340,190,1962
341,289,2018
342,42,1692
343,2010,1925
344,2125,1846
345,1969,2016
346,1916,1820
347,1538,1929
348,1636,1888
349,2009,1831
350,1942,1773
351,1903,1929
352,1907,1867
353,1909,1905
354,1987,1812
355,1216,488
356,2004,264
357,2026,281
358,2030,213
359,1928,190
360,1194,373
361,1987,1153
362,1704,1820
363,1854,1952
364,1983,1883
365,1945,1981
366,1922,1391
367,1650,2009
368,1861,1996
369,2037,1913
370,2021,1939
371,1565,1955
372,2125,1954
373,854,1989
374,175,1793
375,78,1236
376,145,1930
377,101,1802
378,216,1890
379,259,1952
380,285,1915
381,1822,1762
382,1723,2015
383,1836,1990
384,1960,1862
385,1887,1819
386,2026,1293
387,1364,145
388,1849,299
389,1945,270
390,2008,239
391,1786,263
392,1883,550
393,1958,1768
394,1900,1970
395,1902,1835
396,696,1971
397,366,1750
398,257,1994
399,389,1732
400,1018,1877
401,1561,1945
402,1958,1955
403,1896,1948
404,1891,1870
405,1736,1916
406,1712,1763
407,1917,2023
408,2029,1886
409,1745,1865
410,2100,1881
411,729,1938
412,170,1862
413,362,1875
414,1500,1914
415,1838,1832
416,1916,1906
417,1958,1934
418,2176,2021
419,2056,1941
420,2017,2046
421,2164,1933
422,2160,1853
423,2200,258
424,2014,111
425,2123,382
426,2188,208
427,2221,224
428,2103,179
429,2217,240
430,2025,1215
431,2130,1756
432,2049,1833
433,2124,1899
434,1931,1805
435,1999,1806
436,1914,1557
437,2016,1841
438,2059,1782
439,1152,1779
440,2174,1824
441,1920,1306
442,2181,1860
443,2010,1902
444,1911,1882
445,198,1828
446,192,1146
447,182,780
448,298,193
449,380,308
450,63,684
451,241,1864
452,521,1915
453,2035,1802
454,1978,1891
455,2209,1806
456,720,1993
457,915,1899
458,2080,1805
459,1997,1926
460,2055,1205
461,1933,315
462,2005,240
463,2050,1684
464,2139,2008
465,2081,1958
466,1855,1912
467,2148,1938
468,2014,1679
469,2099,1905
470,2036,1787
471,2013,1964
472,1748,1930
473,1949,1961
474,1875,1971
475,2024,1906
476,2033,1782
477,2045,1941
478,431,1856
479,2000,1925
480,2091,1919
481,2086,1821
482,2063,1806
483,2041,1852
484,323,1939
485,202,1834
486,265,1835
487,225,1948
488,439,1906
489,2072,2070
490,2011,1861
491,2023,1881
492,2063,1864
493,1981,891
494,2012,200
495,1998,214
496,1948,229
497,2014,219
498,1972,221
499,2085,140
500,1872,425
501,1971,1903
502,2085,1960
503,1950,1923
504,1268,1929
505,2068,1944
506,2043,1341
507,1986,755
508,2094,1672
509,915,1868
510,915,1918
511,1900,1797
512,1987,1854
513,1980,1921
514,1936,1907
515,1956,1849
516,812,1894
517,374,1983
518,174,1833
519,125,1914
520,361,1870
521,922,1866
522,1947,1836
523,2055,1881
524,1910,1796
525,2094,1814
526,1685,406
527,2004,1912
528,2008,1973
529,1919,1989
530,1924,1877
531,1885,1833
532,2017,269
533,1952,122
534,1987,238
535,1953,337
536,1689,364
537,1917,2062
538,2052,1916
539,1910,1948
540,1935,2007
541,1558,1842
542,317,1909
543,1992,1805
544,1892,1873
545,2173,1826
546,2025,1777
547,2120,1827
548,1928,1782
549,1848,1852
550,2113,1630
551,1973,1693
552,1873,1879
553,321,1904
554,172,1743
555,298,1815
556,91,1741
557,174,425
558,1123,1847
559,2006,1939
560,1982,1881
561,2035,1793
562,1994,1886
563,2043,1214
564,1985,1808
565,1979,1903
566,1819,1185
567,1903,178
569,1689,161
570,1937,100
571,1791,184
572,2051,1275
573,1952,1851
574,498,1681
575,1346,1811
576,715,1819
577,262,1966
578,258,1733
579,406,1830
580,1959,1814
581,2017,1810
582,2062,1851
583,1920,1777
584,1993,1870
585,1899,1969
586,1978,1735
587,1966,1700
588,2168,1827
589,1919,1817
590,1018,1489
591,138,1874
592,1002,726
593,2086,1400
594,1938,1944
595,1915,1760
596,1845,1919
597,1904,1774
598,1749,1117
599,1872,1877
600,1956,1897
601,1837,1866
602,1358,1893
603,1964,1466
604,1941,152
605,1753,121
606,1829,263
607,1760,260
608,322,394
609,926,1716
610,1858,1820
611,2121,1775
612,1985,1728
613,1976,1947
614,1653,1860
615,1936,1751
616,1840,1720
617,1847,1774
618,1838,1714
619,1981,1709
620,1807,1695
621,1752,1709
622,1825,1749
623,1845,1857
624,1477,408
625,110,997
626,388,1062
627,224,453
628,191,253
629,214,211
630,1712,1308
631,1830,1621
632,1964,1640
633,2083,1588
634,1994,1688
635,1473,1750
636,512,1842
637,539,1776
638,531,1712
639,1512,1854
640,1808,1006
641,1870,316
642,1970,1157
643,1816,1758
644,1938,1690
645,1807,1686
646,1883,1775
647,1938,1810
648,1888,1929
649,1869,1886
650,2002,1813
651,1977,1963
652,2046,1939
653,1905,1896
654,1982,1831
655,1821,1923
656,1815,1839
657,1892,1097
658,1844,857
659,1953,1997
660,1379,1900
661,277,1909
662,81,1793
663,333,1494
664,266,1493
665,1611,1880
666,1802,1937
667,1819,1870
668,1969,1729
669,1816,1863
670,1239,1849
671,1650,1911
672,1835,2055
673,1928,1910
674,1886,506
675,1210,195
676,486,145
677,1986,222
678,1938,86
679,2009,487
680,1955,1690
681,1616,1834
682,2137,1862
683,1871,1958
684,1995,1987
685,1879,1917
686,1332,969
687,1607,643
688,1894,576
689,1938,1168
690,1862,1937
691,1986,1942
692,1951,1786
693,2115,1904
694,1871,1733
695,2052,2003
696,718,1958
697,204,1943
698,82,1868
699,201,1882
701,163,1854
702,76,1895
703,859,1750
704,1930,1887
705,1926,1884
706,1943,1894
707,1963,1973
708,1398,1940
709,1897,1906
710,1877,76
711,1963,152
712,1952,303
713,1876,180
714,2015,1823
715,2024,1825
716,1839,1932
717,1926,1920
718,2006,1770
719,1950,1764
720,2002,1832
721,1971,1854
722,1954,1796
723,1898,1770
724,2046,252
725,1779,404
726,2103,1758
727,2039,1796
728,1968,1783
729,1849,1820
730,1794,1834
731,1928,1868
732,1977,1747
733,1867,1700
734,597,1800
735,162,1741
736,192,1840
737,263,1831
738,122,1645
739,228,1822
740,291,1844
741,286,1835
742,1669,1820
743,1945,1849
744,1845,1817
745,1911,1963
746,1821,340
747,1853,156
748,1808,67
749,1964,138
750,1827,131
751,1898,150
752,1979,301
753,1920,1485
754,1928,1630
755,1750,1732
756,419,1636
757,534,1685
758,184,1573
759,309,1890
760,898,1797
761,2005,1883
762,2014,1880
763,1986,1807
764,2023,1834
765,2024,1664
766,1667,1673
767,1561,1791
768,1999,1702
769,1818,1502
770,2042,1504
771,1907,1322
772,185,1441
773,256,1845
774,183,1731
775,700,1670
776,1955,1694
777,1883,1853
778,2046,1649
779,2028,1796
780,1866,1772
781,1938,1741
782,1947,1674
783,2012,641
784,1972,256
785,2094,271
786,2002,223
787,1978,346
788,2005,182
789,2044,904
790,2061,1802
791,2121,1770
792,2092,1686
793,1945,1950
794,1984,1514
795,1877,1677
796,1993,1513
797,2027,1728
798,2085,1788
799,2011,1587
800,2047,1593
801,2053,1672
802,2016,1726
803,2074,1795
804,2057,1785
805,1906,1485
806,199,1129
807,331,715
808,253,203
809,170,328
810,350,632
811,235,1693
812,234,1627
813,176,1617
814,580,1665
815,1922,1696
816,1112,1559
817,1958,1555
818,1926,1452
819,1928,1279
820,1954,473
821,1861,459
822,2007,1804
823,1865,1661
824,1825,1847
825,1948,1794
826,1940,1872
827,1959,1869
828,1936,1008
829,1885,1784
830,2068,1906
831,1914,1975
832,1965,1837
833,1937,1767
834,1990,1809
835,1870,1818
836,1921,1383
837,1822,1893
838,1940,1816
839,1774,2059
840,706,1886
841,2039,1764
842,1883,1694
843,2110,1899
844,2042,1554
845,1861,1743
846,310,1756
847,407,1905
848,196,1790
849,230,1822
850,154,1560
851,1865,1796
852,1796,639
853,1670,142
854,1895,92
855,1909,440
856,1764,211
857,1920,240
858,1916,127
859,1820,145
860,1840,1575
861,2009,1812
862,1926,1801
863,1843,1895
864,1727,1681
865,1711,1712
866,1825,1141
867,1923,727
868,1817,1287
869,1655,1733
870,1777,1686
871,497,1890
872,1280,1954
873,1819,1820
874,1861,1922
875,1821,1804
876,607,1788
877,293,1729
878,47,1925
879,222,1882
880,307,1951
881,222,1373
882,1402,1845
883,1850,1798
884,1825,1833
885,2033,1844
886,1838,1866
887,2085,1823
888,1926,1740
889,2047,1618
890,1901,633
891,2062,282
892,1904,150
893,1915,187
894,2119,344
895,1861,161
896,1986,1539
897,1817,1839
898,1986,1767
899,1896,1798
